,nom_entreprise,adresse,latitude,longitude,activite_principale
2844,LES VOLANTS,4 ALLEE DE L’ATRIUM 38640 CLAIX,45.119819,5.691109,74.5B
2845,LES VOLANTS,69 COURS SAINT - ANDRE 38800 LE PONT-DE-CLAIX,45.132427,5.700023,78.20Z
2846,LES VOLANTS,1 BOULEVARD JOSEPH VALLIER 38000 GRENOBLE,45.180052,5.715723,78.20Z
2847,DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'ISERE (DSDEN),CITE ADMINISTRATIVE 1 RUE JOSEPH CHANRION 38000 GRENOBLE,45.191668,5.735354,84.12Z
2848,DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'ISERE (DSDEN),5 RUE FEDERICO GARCIA LORCA 38100 GRENOBLE,45.171708,5.736669,84.12Z
2849,DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'ISERE (DSDEN),ECOLE JULES FERRY 81 BOULEVARD DENFERT-ROCHEREAU 38500 VOIRON,45.360488,5.596274,84.12Z
2850,DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'ISERE (DSDEN),LA BRUNETIERE 38500 VOIRON,45.362944,5.581435,84.12Z
2851,DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'ISERE (DSDEN),22 RUE EDMOND ROSTAND 38400 SAINT-MARTIN-D'HERES,45.172794,5.754219,84.12Z
2852,DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'ISERE (DSDEN),GRENOBLE GRENETTE 10 RUE DE BELGRADE 38000 GRENOBLE,45.190844,5.725026,84.12Z
2853,DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'ISERE (DSDEN),5 RUE FEDERICO GARCIA LORCA 38100 GRENOBLE,45.171708,5.736669,84.12Z
2854,DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'ISERE (DSDEN),11 RUE MILLET 38000 GRENOBLE,45.18844,5.726597,84.12Z
2855,DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'ISERE (DSDEN),14 RUE JEAN DE LA FONTAINE 38700 LA TRONCHE,45.204033,5.754356,75.1C
2856,DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'ISERE (DSDEN),35 RUE HENRI WALLON 38400 SAINT-MARTIN-D'HERES,45.174175,5.761338,84.12Z
2857,TECHNIQUE SOLAIRE INVEST 31 (TSI 31),ALLEE DU PRE DE L’EAU 38330 MONTBONNOT-SAINT-MARTIN,45.22572,5.818915,35.11Z
2858,MALAKOFF HUMANIS PREVOYANCE,23 AVENUE FELIX VIALLET 38000 GRENOBLE,45.190918,5.720455,84.30B
2859,COGESTAR 2,CHAUFFERIE COPROPRIETES LA CROIX DU PATRE 38400 SAINT-MARTIN-D'HERES,45.185054,5.753867,35.11Z
2860,OCP REPARTITION (PHARMACIE-POINT-PHARMAZIE-POINT-),ZI 11 RUE PAUL HEROULT 38130 ECHIROLLES,45.149513,5.712333,46.46Z
2861,KP1,LD LES ILES 17 RUE DU LAC 38120 SAINT-EGREVE,45.23567,5.666132,23.61Z
2862,KP1,20 RUE DU LAC 38120 SAINT-EGREVE,45.236517,5.665311,23.61Z
2863,IFAC (IFAC),1 AVENUE JEANNE D'ARC 38100 GRENOBLE,45.186805,5.742579,85.59A
2864,IFAC (IFAC),9 RUE LESDIGUIERES 38000 GRENOBLE,45.187835,5.729905,85.59A
2865,IFAC (IFAC),ESPACE CLARETIERE 6 RUE DU CORNILLON 38120 FONTANIL-CORNILLON,45.25299,5.668783,93.29Z
2866,IFAC (IFAC),22 RUE THIERS 38000 GRENOBLE,45.186904,5.720726,85.59A
2867,SFS FRANCE COURTAGE (SFS FRANCE COURTAGE),10 RUE D'ARMENIE 38000 GRENOBLE,45.192212,5.711713,66.22Z
2868,VALIANCE FIDUCIAIRE,41 RUE DU BOURGAMON 38400 SAINT-MARTIN-D'HERES,45.164399,5.763732,74.1J
2869,VALIANCE FIDUCIAIRE,41 RUE DU BOURGAMON 38400 SAINT-MARTIN-D'HERES,45.164399,5.763732,74.1J
2870,VALIANCE FIDUCIAIRE,12 RUE DE MAYENCIN 38400 SAINT-MARTIN-D'HERES,45.186294,5.77752,74.1J
2871,VALIANCE FIDUCIAIRE,18 RUE MARCEAU LEYSSIEUX 38400 SAINT-MARTIN-D'HERES,45.184801,5.75737,80.10Z
2872,VALIANCE FIDUCIAIRE,21 RUE JOSEPH BOUCHAYER 38100 GRENOBLE,45.176732,5.71214,68.20B
2873,VILTAIS (FJT PLUS),30 RUE DE LA LIBERTE 38600 FONTAINE,45.191089,5.695208,93.29Z
