,Code NAF,Intitule NAF
455,4774Z,Commerce de détail d'articles médicaux et orthopédiques en magasin spécialisé
456,1091Z,Fabrication d'aliments pour animaux de ferme
457,4725Z,Commerce de détail de boissons en magasin spécialisé
458,78,Activités liées à l'emploi
459,653,Caisses de retraite
460,8610Z,Activités hospitalières
461,4633Z,"Commerce de gros (commerce interentreprises) de produits laitiers, œufs, huiles et matières grasses comestibles"
462,7320Z,Études de marché et sondages
463,1391,Fabrication d'étoffes à mailles
464,3109B,Fabrication d’autres meubles et industries connexes de l’ameublement
465,6910,Activités juridiques
466,74,"Autres activités spécialisées, scientifiques et techniques"
467,970,Activités des ménages en tant qu'employeurs de personnel domestique
468,9311Z,Gestion d'installations sportives
469,2891,Fabrication de machines pour la métallurgie
470,3240,Fabrication de jeux et jouets
471,4540Z,Commerce et réparation de motocycles
472,119,Autres cultures non permanentes
473,2312Z,Façonnage et transformation du verre plat
474,9103,Gestion des sites et monuments historiques et des attractions touristiques similaires
475,5510Z,Hôtels et hébergement similaire
476,8421,Affaires étrangères
477,1420Z,Fabrication d'articles en fourrure
478,220,Exploitation forestière
479,2319Z,"Fabrication et façonnage d'autres articles en verre, y compris verre technique"
480,311,Pêche en mer
481,2620,Fabrication d'ordinateurs et d'équipements périphériques
482,2391,Fabrication de produits abrasifs
483,4931,Transports urbains et suburbains de voyageurs
484,783,Autre mise à disposition de ressources humaines
485,2594Z,Fabrication de vis et de boulons
486,18,Imprimerie et reproduction d'enregistrements
487,4764Z,Commerce de détail d'articles de sport en magasin spécialisé
488,8899A,"Autre accueil ou accompagnement sans hébergement d’enfants
 et d’adolescents"
489,531,Activités de poste dans le cadre d'une obligation de service universel
490,2814Z,Fabrication d'autres articles de robinetterie
491,4622Z,Commerce de gros (commerce interentreprises) de fleurs et plantes
492,141,"Fabrication de vêtements, autres qu'en fourrure"
493,2229A,Fabrication de pièces techniques à base de matières plastiques
494,2530,"Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central"
495,268,Fabrication de supports magnétiques et optiques
496,3511Z,Production d'électricité
497,6209Z,Autres activités informatiques
498,2571,Fabrication de coutellerie
499,1812Z,Autre imprimerie (labeur)
500,900,"Activités créatives, artistiques et de spectacle"
501,920,Organisation de jeux de hasard et d'argent
502,8411Z,Administration publique générale
503,581,Édition de livres et périodiques et autres activités d'édition
504,3099,Fabrication d’autres équipements de transport n.c.a.
505,2680,Fabrication de supports magnétiques et optiques
506,8520Z,Enseignement primaire
507,2432,Laminage à froid de feuillards
508,6391Z,Activités des agences de presse
509,1200,Fabrication de produits à base de tabac
510,1512,"Fabrication d'articles de voyage, de maroquinerie et de sellerie"
511,171,"Fabrication de pâte à papier, de papier et de carton"
512,8720,"Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes"
513,24,Services de soutien à l'exploitation forestière
514,4775Z,Commerce de détail de parfumerie et de produits de beauté en magasin spécialisé
515,4616,"Intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir"
516,4674,Commerce de gros de quincaillerie et fournitures pour plomberie et chauffage
517,721,Extraction de minerais d'uranium et de thorium
518,7911,Activités des agences de voyage
519,88,Action sociale sans hébergement
520,662,Activités auxiliaires d'assurance et de caisses de retraite
521,6419Z,Autres intermédiations monétaires
522,0520Z,Extraction de lignite
523,4711C,Supérettes
524,3512,Transport d'électricité
525,4724,"Commerce de détail de pain, pâtisserie et confiserie en magasin spécialisé"
526,4618,Intermédiaires spécialisés dans le commerce d'autres produits spécifiques
527,1310,Préparation de fibres textiles et filature
528,0147Z,Élevage de volailles
529,4719A,Grands magasins
530,2573B,Fabrication d'autres outillages
531,563,Débits de boissons
532,7211Z,Recherche-développement en biotechnologie
533,8610,Activités hospitalières
534,4778A,Commerces de détail d'optique
535,2020Z,Fabrication de pesticides et d’autres produits agrochimiques
536,1085,Fabrication de plats préparés
537,3900Z,Dépollution et autres services de gestion des déchets
538,5590Z,Autres hébergements
539,1393Z,Fabrication de tapis et moquettes
540,892,Extraction de tourbe
541,8690B,Laboratoires d'analyses médicales
542,2931Z,Fabrication d'équipements électriques et électroniques automobiles
543,4321A,Travaux d'installation électrique dans tous locaux
544,1103Z,Fabrication de cidre et de vins de fruits
545,8020Z,Activités liées aux systèmes de sécurité
546,9319,Autres activités liées au sport
547,9603,Services funéraires
548,50,Transports par eau
549,4322B,Travaux d'installation d'équipements thermiques et de climatisation
550,4614Z,"Intermédiaires du commerce en machines, équipements industriels, navires et avions"
551,2733Z,Fabrication de matériel d'installation électrique
552,3102,Fabrication de meubles de cuisine
553,4636,"Commerce de gros de sucre, chocolat et confiserie"
554,1062,Fabrication de produits amylacés
555,4531Z,Commerce de gros d'équipements automobiles
556,43,Travaux de construction spécialisés
557,63,Services d'information
558,0149Z,Élevage d'autres animaux
559,81,Services relatifs aux bâtiments et aménagement paysager
560,5020,Transports maritimes et côtiers de fret
561,702,Conseil de gestion
562,141,Élevage de vaches laitières
563,2451,Fonderie de fonte
564,4763,Commerce de détail d'enregistrements musicaux et vidéo en magasin spécialisé
565,87,Hébergement médico-social et social
566,1395,"Fabrication de non-tissés, sauf habillement"
567,2012Z,Fabrication de colorants et de pigments
568,0729Z,Extraction d'autres minerais de métaux non ferreux
569,12,Fabrication de produits à base de tabac
570,1071C,Boulangerie et boulangerie-pâtisserie
571,2512,Fabrication de portes et fenêtres en métal
572,3314Z,Réparation d'équipements électriques
573,5913,"Distribution de films cinématographiques, de vidéo et de programmes de télévision"
574,107,Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires
575,1011Z,Transformation et conservation de la viande de boucherie
576,8423Z,Justice
577,2052,Fabrication de colles
578,21,Industrie pharmaceutique
579,2223Z,Fabrication d'éléments en matières plastiques pour la construction
580,2454,Fonderie d'autres métaux non ferreux
581,2365,Fabrication d'ouvrages en fibre-ciment
582,7735Z,Location et location-bail de matériels de transport aérien
583,233,Fabrication de matériaux de construction en terre cuite
584,8790,Autres activités d’hébergement social
585,272,Fabrication de piles et d'accumulateurs électriques
586,4211,Construction de routes et autoroutes
587,235,"Fabrication de ciment, chaux et plâtre"
588,3020,Construction de locomotives et d'autre matériel ferroviaire roulant
589,6619,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite"
590,0146Z,Élevage de porcins
591,1512Z,"Fabrication d'articles de voyage, de maroquinerie et de sellerie"
592,4665Z,Commerce de gros (commerce interentreprises) de mobilier de bureau
593,879,Autres activités d’hébergement social
594,8560,Activités de soutien à l'enseignement
595,1086,Fabrication d'aliments homogénéisés et diététiques
